# Byte 1
# Protocol version 00, type, subtype 
0000000000000000 00 Management 0000 Association request
0000100000000000 00 Management 0001 Association response
0000010000000000 00 Management 0010 Reassociation request
0000110000000000 00 Management 0011 Reassociation response
0000001000000000 00 Management 0100 Probe request
0000101000000000 00 Management 0101 Probe response
0000011000000000 00 Management 0110 Reserved
0000111000000000 00 Management 0111 Reserved
0000000100000000 00 Management 1000 Beacon
0000100100000000 00 Management 1001 Announcement traffic indication frame (ATIM)
0000010100000000 00 Management 1010 Disassociation
0000110100000000 00 Management 1011 Authentication
0000001100000000 00 Management 1100 Deauthentication
0000101100000000 00 Management 1101 Reserved
0000011100000000 00 Management 1110 Reserved
0000111100000000 00 Management 1111 Reserved
0010010100000000 01 Control    1010 PS-Poll
0010110100000000 01 Control    1011 RTS
0010001100000000 01 Control    1100 CTS
0010101100000000 01 Control    1101 Acknowledgment (ACK)
0010011100000000 01 Control    1110 CF-End
0010111100000000 01 Control    1111 CF-End+CF-Ack
0010000000000000 10 Data       0000 Data
0010100000000000 10 Data       0001 Data+CF-Ack
0010010000000000 10 Data       0010 Data+CF-Poll
0010110000000000 10 Data       0011 Data+CF-Ack+CF-Poll
0010001000000000 10 Data       0100 Null function (no data)
0010101000000000 10 Data       0101 CF-Ack (no data)
0010011000000000 10 Data       0110 CF-Poll (no data)
0010111000000000 10 Data       0111 CF-Ack+CF-Poll (no data)
0010000100000000 10 Data       1000 Reserved
0010100100000000 10 Data       1001 Reserved
0010010100000000 10 Data       1010 Reserved
0010110100000000 10 Data       1011 Reserved
0010001100000000 10 Data       1100 Reserved
0010101100000000 10 Data       1101 Reserved
0010011100000000 10 Data       1110 Reserved
0010111100000000 10 Data       1111 Reserved
0011000000000000 11 Reserved   0000 Reserved
0011100000000000 11 Reserved   0001 Reserved
0011010000000000 11 Reserved   0010 Reserved
0011110000000000 11 Reserved   0011 Reserved
0011001000000000 11 Reserved   0100 Reserved
0011101000000000 11 Reserved   0101 Reserved
0011011000000000 11 Reserved   0110 Reserved
0011111000000000 11 Reserved   0111 Reserved
0011000100000000 11 Reserved   1000 Reserved
0011100100000000 11 Reserved   1001 Reserved
0011010100000000 11 Reserved   1010 Reserved
0011110100000000 11 Reserved   1011 Reserved
0011001100000000 11 Reserved   1100 Reserved
0011101100000000 11 Reserved   1101 Reserved
0011011100000000 11 Reserved   1110 Reserved
0011111100000000 11 Reserved   1111 Reserved

# Byte 2
0000000000000001 10000000           ToDS
0000000000000010 01000000           FromDS
0000000000000100 00100000           MoreFrags
0000000000001000 00010000           Retry
0000000000010000 00001000           PowerMgmt
0000000000100000 00000100           MoreData
0000000001000000 00000010           WEP
0000000010000000 00000001           Order



